Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Autoroute;0;0;0;1;1;0;1;0;1;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Route principale;1;0;0;4;3;4;5;4;1;5;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Route secondaire;4;2;4;0;4;0;3;0;0;1;3
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Semi-autoroute;0;1;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Janvier;Autre;1;1;0;0;0;0;0;0;1;0;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Autoroute;0;0;0;0;1;0;0;0;0;3;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Route principale;1;1;0;1;3;1;4;0;3;0;6
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Route secondaire;2;1;0;0;2;3;4;1;3;2;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Février;Autre;0;1;1;0;0;0;1;1;1;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Autoroute;0;0;0;2;1;1;0;0;0;0;2
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Route principale;3;2;2;3;3;1;3;1;2;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Route secondaire;2;1;4;5;7;2;3;3;5;2;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mars;Autre;0;0;0;0;0;0;0;0;1;0;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Autoroute;0;0;1;3;1;0;1;0;0;1;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Route principale;2;5;1;4;1;5;3;4;5;2;2
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Route secondaire;5;4;2;2;4;1;6;3;3;0;4
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Semi-autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Avril;Autre;2;0;1;0;1;1;0;0;2;2;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Autoroute;0;0;0;0;1;1;1;0;1;0;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Route principale;6;6;2;4;4;1;3;5;5;3;2
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Route secondaire;5;6;3;3;4;2;5;2;2;3;4
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Mai;Autre;0;1;0;2;1;1;0;1;1;0;2
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Autoroute;2;2;1;0;1;2;0;0;3;1;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Route principale;3;7;4;3;3;3;3;8;6;12;8
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Route secondaire;4;3;5;6;5;4;5;5;10;4;5
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Semi-autoroute;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juin;Autre;0;0;1;2;0;2;2;1;0;3;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juillet;Autoroute;2;2;1;1;0;1;3;0;1;1;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Juillet;Route principale;4;6;2;6;2;4;4;3;4;7;3
